epochs,loss_train,loss_test
0,0.661714207879336,0.47000697729262436
1,0.10381907600146789,0.45989962787640215
2,0.055328615645226245,0.3160403005571829
4,0.03678452337628267,0.30094916674054484
9,0.021386357593350065,0.2549606495727362
12,0.017529172067688364,0.2331962585872547
18,0.016394838321393112,0.2675882834021585
22,0.00699385201995408,0.177956193063474
44,0.0018939833604758156,0.1649376028225276
48,4.932096292875845e-05,0.15765714817242574
50,1.7049865605918912e-05,0.15861779887888652
51,1.6980129522880594e-05,0.1604998091280469
52,1.0597612197012216e-05,0.15931103079599945
54,6.005983827385854e-06,0.16166425817425764
