epochs,loss_train,loss_test
0,0.4055233247848577,0.1860270160391475
1,0.022841746333172184,0.1692835269589918
2,0.007171884978568557,0.13154473642505837
3,0.001676766184880474,0.08549389701378955
6,7.997498878274134e-05,0.08679706565619033
10,2.3026768955014707e-05,0.08649003269607475
17,2.6601416492278615e-06,0.09003019900656643
19,1.3845674691631552e-06,0.09044416542044037
20,9.874497208972455e-07,0.09046374296329217
22,5.107599188312008e-07,0.09354788566165415
26,1.325952118970578e-07,0.09353392591335814
27,9.749754499991564e-08,0.09383646279990808
38,0.0012532383981127086,0.1123720334873771
