epochs,loss_train,loss_test
0,0.5262067659315919,0.375212556334457
1,0.06169742520679803,0.39319960313915003
2,0.03025095291579291,0.41773402586466435
3,0.02844488509375371,0.31808658075904606
4,0.01924992080287534,0.2940775975208692
5,0.02090229277496551,0.27952334392025613
6,0.018783339342893578,0.28471114716405577
10,0.015054772885999703,0.28630732969649025
11,0.010990296366822897,0.22634483420735724
13,0.014717220853459903,0.2172255189067036
19,0.008544836020002822,0.23114856019689034
22,0.002656773703579473,0.20362104263598796
28,0.0016103551140082824,0.22966763076861624
30,0.004276580641520089,0.1857685214378918
33,0.0053495026225734215,0.18905216324110186
42,1.0018122222986655e-05,0.19195493916431772
44,6.084159366861833e-06,0.189671114781922
45,4.290248591058882e-06,0.18805832410086595
46,2.5782166696011015e-06,0.18865475093068632
49,0.0005133666553797671,0.17076019686657784
59,1.3941669423476054e-05,0.16621664062323463
